Subject,Status,Start Time,End Time,Size,Read,Transferred,Duration
MAWF,Success,下午 09:19:51,下午 10:30:51,400 GB,258.9 GB,379.8 MB,1:10:59
SECOM,Success,下午 09:27:55,上午 12:04:39,931.5 GB,495.6 GB,1.2 GB,2:36:43
SECOM,Success,上午 08:27:59,上午 11:30:50,931.5 GB,497.3 GB,737.1 MB,3:02:51
MAWF,Success,下午 02:18:12,下午 03:57:49,400 GB,259 GB,757.8 MB,1:39:36
MAWF,Success,下午 06:37:18,下午 07:47:06,400 GB,259 GB,1.4 GB,1:09:47
MAWF,Success,下午 10:17:57,上午 12:25:36,400 GB,259 GB,196.8 MB,2:07:38
MAWF,Success,下午 02:18:05,下午 04:33:23,400 GB,259.1 GB,326.3 MB,2:15:18
MAWF,Success,下午 07:18:09,下午 08:33:10,400 GB,259.1 GB,361.8 MB,1:15:00
SECOM,Success,下午 08:27:48,下午 10:49:40,931.5 GB,495 GB,284.5 MB,2:21:52
MAWF,Success,下午 11:18:07,上午 12:54:26,400 GB,259.1 GB,198.3 MB,1:36:18
MAWF,Success,下午 04:18:05,下午 06:03:52,400 GB,259.1 GB,388.8 MB,1:45:47
MAWF,Success,下午 08:17:43,下午 09:15:00,400 GB,259.1 GB,206.8 MB,0:57:16
SECOM,Success,下午 11:28:00,上午 02:10:11,931.5 GB,495 GB,719.5 MB,2:42:11
MAWF,Success,上午 10:17:51,上午 11:15:26,400 GB,259.2 GB,586.3 MB,0:57:35
MAWF,Success,下午 02:17:53,下午 03:43:26,400 GB,259.2 GB,917.3 MB,1:25:32
SECOM,Success,下午 02:27:56,下午 05:17:46,931.5 GB,496.5 GB,1.1 GB,2:49:50
MAWF,Success,下午 05:26:17,下午 06:24:06,400 GB,259.2 GB,578.8 MB,0:57:48
MAWF,Success,下午 09:18:15,下午 10:30:03,400 GB,259.2 GB,976.3 MB,1:11:48
SECOM,Success,下午 09:28:02,上午 12:16:02,931.5 GB,496.7 GB,1.3 GB,2:47:59
MAWF,Success,上午 09:18:25,上午 10:46:49,400 GB,259.6 GB,930.9 MB,1:28:23
MAWF,Success,下午 01:17:59,下午 03:40:10,400 GB,259.6 GB,497.9 MB,2:22:10
SECOM,Success,下午 05:28:05,下午 07:50:03,931.5 GB,496.3 GB,1.3 GB,2:21:58
MAWF,Success,下午 06:30:40,下午 07:57:58,400 GB,259.6 GB,2 GB,1:27:17
MAWF,Success,下午 10:18:20,上午 12:51:24,400 GB,259.6 GB,190.3 MB,2:33:04
MAWF,Success,下午 12:17:55,下午 01:34:24,400 GB,259.5 GB,228.8 MB,1:16:28
MAWF,Success,下午 04:17:44,下午 05:13:09,400 GB,259.5 GB,247.3 MB,0:55:25
SECOM,Success,下午 07:27:48,下午 09:39:41,931.5 GB,496.2 GB,288 MB,2:11:52
MAWF,Success,下午 08:17:49,下午 09:44:15,400 GB,259.5 GB,203.3 MB,1:26:25
MAWF,Success,上午 09:17:40,上午 10:15:28,400 GB,259.5 GB,731.9 MB,0:57:48
MAWF,Success,下午 01:17:57,下午 02:37:59,400 GB,259.5 GB,520.4 MB,1:20:02
MAWF,Success,下午 04:17:43,下午 05:38:06,400 GB,259.5 GB,454.4 MB,1:20:23
MAWF,Success,下午 08:18:03,下午 10:35:39,400 GB,259.5 GB,230.8 MB,2:17:36
MAWF,Success,上午 09:17:49,下午 12:00:31,400 GB,259.6 GB,311.4 MB,2:42:41
MAWF,Success,下午 10:17:58,上午 12:06:48,400 GB,259.6 GB,186.4 MB,1:48:50
SECOM,Success,上午 06:28:03,上午 08:42:06,931.5 GB,498.7 GB,310.7 MB,2:14:03
SECOM,Success,上午 11:28:09,下午 01:52:23,931.5 GB,498.7 GB,1.3 GB,2:24:14
MAWF,Success,下午 12:18:03,下午 01:53:11,400 GB,259.6 GB,212.8 MB,1:35:08
MAWF,Success,下午 04:18:07,下午 06:56:48,400 GB,259.6 GB,193.3 MB,2:38:40
MAWF,Success,下午 11:18:07,上午 01:33:21,400 GB,259.6 GB,321.9 MB,2:15:13
SECOM,Success,上午 06:27:56,上午 09:17:56,931.5 GB,496.3 GB,514.1 MB,2:50:00
MAWF,Success,上午 10:17:53,上午 11:46:41,400 GB,259.7 GB,232.4 MB,1:28:47
MAWF,Success,下午 01:17:52,下午 02:21:52,400 GB,259.7 GB,191.9 MB,1:03:59
SECOM,Success,下午 01:28:08,下午 04:19:26,931.5 GB,496.3 GB,2.8 GB,2:51:18
SECOM,Success,下午 06:28:09,下午 08:51:22,931.5 GB,496.3 GB,310.6 MB,2:23:12
SECOM,Success,下午 11:27:58,上午 02:55:00,931.5 GB,496.3 GB,885.1 MB,3:27:02
MAWF,Success,上午 08:17:56,上午 09:42:40,400 GB,259.6 GB,344.9 MB,1:24:43
MAWF,Success,下午 12:18:04,下午 01:38:18,400 GB,259.7 GB,387.9 MB,1:20:13
SECOM,Success,下午 12:28:08,下午 03:14:08,931.5 GB,496.4 GB,1.9 GB,2:46:00
MAWF,Success,上午 12:35:28,上午 03:56:17,400 GB,280.3 GB,22.3 GB,3:20:48
MAWF,Success,上午 09:18:05,上午 10:30:35,400 GB,259.7 GB,424.9 MB,1:12:29
MAWF,Success,下午 01:17:59,下午 02:13:15,400 GB,259.7 GB,383.4 MB,0:55:16
MAWF,Success,下午 05:33:55,下午 07:15:49,400 GB,259.8 GB,418.4 MB,1:41:54
MAWF,Success,下午 10:17:50,下午 11:30:53,400 GB,259.7 GB,194.4 MB,1:13:02
SECOM,Success,下午 10:27:54,上午 01:42:34,931.5 GB,497.4 GB,1.5 GB,3:14:40
SECOM,Success,上午 05:27:59,上午 08:29:33,931.5 GB,496.5 GB,500.1 MB,3:01:34
MAWF,Success,下午 03:17:57,下午 04:32:20,400 GB,259.9 GB,357.9 MB,1:14:23
SECOM,Success,下午 06:28:07,下午 08:54:09,931.5 GB,496.6 GB,349.6 MB,2:26:01
MAWF,Success,下午 11:18:07,上午 01:44:42,400 GB,259.9 GB,207.4 MB,2:26:34
MAWF,Success,上午 11:17:57,下午 02:06:17,400 GB,259.9 GB,1.5 GB,2:48:19
MAWF,Success,下午 06:18:09,下午 07:31:35,400 GB,260 GB,1.1 GB,1:13:25
SECOM,Success,下午 06:27:43,下午 09:12:01,931.5 GB,496.7 GB,395.6 MB,2:44:17
MAWF,Success,下午 10:17:56,下午 11:08:36,400 GB,259.9 GB,192.4 MB,0:50:40
MAWF,Success,上午 03:18:04,上午 06:12:24,400 GB,259.9 GB,800.9 MB,2:54:19
SECOM,Success,上午 05:27:59,上午 07:47:29,931.5 GB,498.2 GB,388.2 MB,2:19:30
MAWF,Success,上午 11:18:12,下午 01:46:07,400 GB,260 GB,727.9 MB,2:27:55
MAWF,Success,下午 08:18:13,下午 09:42:49,400 GB,260 GB,205.9 MB,1:24:36
MAWF,Success,下午 11:18:04,上午 01:00:09,400 GB,260 GB,205.9 MB,1:42:04
